"full_name","born","died","born_country","born_country_code","died_country","died_country_code","gender","year","category","motivation","organization_name","organization_city","organization_country","winning_age","organization_name_standard"
"Leonid Hurwicz","1917-08-21","2008-06-24","Russia","RU","USA","US","male",2007,"Economics","""for having laid the foundations of mechanism design theory""","University of Minnesota","Minneapolis MN","USA",90,"University of Minnesota"
"Halldór Laxness","1902-04-23","1998-02-08","Iceland","IS","Iceland","IS","male",1955,"Literature","""for his vivid epic power which has renewed the great narrative art of Iceland""",NULL,NULL,NULL,53,NULL
"Camilo José Cela","1916-05-11","2002-01-17","Spain","ES","Spain","ES","male",1989,"Literature","""for a rich and intensive prose which with restrained compassion forms a challenging vision of man's vulnerability""",NULL,NULL,NULL,73,NULL
"Wislawa Szymborska","1923-07-02","2012-02-01","Poland","PL","Poland","PL","female",1996,"Literature","""for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality""",NULL,NULL,NULL,73,NULL
"Richard Stone","1913-08-30","1991-12-06","United Kingdom","GB","United Kingdom","GB","male",1984,"Economics","""for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis""","University of Cambridge","Cambridge","United Kingdom",71,"University of Cambridge"
"Daniel L. McFadden","1937-07-29",NULL,"USA","US",NULL,NULL,"male",2000,"Economics","""for his development of theory and methods for analyzing discrete choice""","University of California","Berkeley CA","USA",63,"University of California"
"Nikolaas Tinbergen","1907-04-15","1988-12-21","the Netherlands","NL","United Kingdom","GB","male",1973,"Medicine","""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""","University of Oxford","Oxford","United Kingdom",66,"University of Oxford"
"Baruch S. Blumberg","1925-07-28","2011-04-05","USA","US","USA","US","male",1976,"Medicine","""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases""","The Institute for Cancer Research","Philadelphia PA","USA",51,"The Institute for Cancer Research"
"Pyotr Kapitsa","1894-07-09","1984-04-08","Russian Empire (now Russia)","RU","USSR (now Russia)","RU","male",1978,"Physics","""for his basic inventions and discoveries in the area of low-temperature physics""","Academy of Sciences","Moscow","USSR (now Russia)",84,"Academy of Sciences"
"Gerd Binnig","1947-07-20",NULL,"West Germany (now Germany)","DE",NULL,NULL,"male",1986,"Physics","""for their design of the scanning tunneling microscope""","IBM Zurich Research Laboratory","Rüschlikon","Switzerland",39,"IBM Zurich Research Laboratory"
"Claude Cohen-Tannoudji","1933-04-01",NULL,"French Algeria (now Algeria)","DZ",NULL,NULL,"male",1997,"Physics","""for development of methods to cool and trap atoms with laser light""","Collège de France","Paris","France",64,"Collège de France"
"Otto Wallach","1847-03-27","1931-02-26","Germany (now Russia)","RU","Germany","DE","male",1910,"Chemistry","""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""","Goettingen University","Göttingen","Germany",63,"Goettingen University"
"Artturi Virtanen","1895-01-15","1973-11-11","Russian Empire (now Finland)","FI","Finland","FI","male",1945,"Chemistry","""for his research and inventions in agricultural and nutrition chemistry especially for his fodder preservation method""","University of Helsinki","Helsinki","Finland",50,"University of Helsinki"
"Osamu Shimomura","1928-08-27","2018-10-19","Japan","JP","Japan","JP","male",2008,"Chemistry","""for the discovery and development of the green fluorescent protein GFP""","Marine Biological Laboratory (MBL)","Woods Hole MA","USA",80,"Marine Biological Laboratory (MBL)"
"Tawakkol Karman","1979-02-07",NULL,"Yemen","YE",NULL,NULL,"female",2011,"Peace","""for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work""",NULL,NULL,NULL,32,NULL
"Arieh Warshel","1940-11-20",NULL,"British Mandate of Palestine (now Israel)","IL",NULL,NULL,"male",2013,"Chemistry","""for the development of multiscale models for complex chemical systems""","University of Southern California","Los Angeles CA","USA",73,"University of Southern California"
"Dmitry Muratov","1961-12-30",NULL,"USSR (now Russia)","RU",NULL,NULL,"male",2021,"Peace","""for their efforts to safeguard freedom of expression which is a precondition for democracy and lasting peace""",NULL,NULL,NULL,60,NULL
"John O'Keefe","1939-11-18",NULL,"USA","US",NULL,NULL,"male",2014,"Medicine","""for their discoveries of cells that constitute a positioning system in the brain""","University College","London","United Kingdom",75,"University College"
"Shuji Nakamura","1954-05-22",NULL,"Japan","JP",NULL,NULL,"male",2014,"Physics","""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""","University of California","Santa Barbara CA","USA",60,"University of California"
"David J. Thouless","1934-09-21","2019-04-06","United Kingdom","GB","United Kingdom","GB","male",2016,"Physics","""for theoretical discoveries of topological phase transitions and topological phases of matter""","University of Washington","Seattle WA","USA",82,"University of Washington"
"Tasuku Honjo","1942-01-27",NULL,"Japan","JP",NULL,NULL,"male",2018,"Medicine","""for their discovery of cancer therapy by inhibition of negative immune regulation""","Kyoto University","Kyoto","Japan",76,"Kyoto University"
"Didier Queloz","1966-02-23",NULL,"Switzerland","CH",NULL,NULL,"male",2019,"Physics","""for the discovery of an exoplanet orbiting a solar-type star""","University of Geneva","Geneva","Switzerland",53,"University of Geneva"
"Akira Yoshino","1948-01-30",NULL,"Japan","JP",NULL,NULL,"male",2019,"Chemistry","""for the development of lithium-ion batteries""","Asahi Kasei Corporation","Tokyo","Japan",71,"Asahi Kasei Corporation"
"Maria Ressa","1963-10-02",NULL,"Philippines","PH",NULL,NULL,"female",2021,"Peace","""for their efforts to safeguard freedom of expression which is a precondition for democracy and lasting peace""",NULL,NULL,NULL,58,NULL
"Michael Houghton","1949-01-01",NULL,"United Kingdom","GB",NULL,NULL,"male",2020,"Medicine","""for the discovery of Hepatitis C virus""","University of Alberta","Edmonton","Canada",71,"University of Alberta"
"Herbert A. Hauptman","1917-02-14","2011-10-23","USA","US","USA","US","male",1985,"Chemistry","""for their outstanding achievements in the development of direct methods for the determination of crystal structures""","The Medical Foundation of Buffalo","Buffalo NY","USA",68,"The Medical Foundation of Buffalo"
"Manfred Eigen","1927-05-09","2019-02-06","Germany","DE","Germany","DE","male",1967,"Chemistry","""for their studies of extremely fast chemical reactions effected by disturbing the equilibrium by means of very short pulses of energy""","Max-Planck-Institut für Physikalische Chemie","Göttingen","Germany",40,"Max Planck Society"
"Stanley B. Prusiner","1942-05-28",NULL,"USA","US",NULL,NULL,"male",1997,"Medicine","""for his discovery of Prions - a new biological principle of infection""","University of California School of Medicine","San Francisco CA","USA",55,"University of California"
"Renato Dulbecco","1914-02-22","2012-02-19","Italy","IT","USA","US","male",1975,"Medicine","""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""","Imperial Cancer Research Fund Laboratory","London","United Kingdom",61,"Imperial Cancer Research Fund"
"George A. Olah","1927-05-22","2017-03-08","Hungary","HU","USA","US","male",1994,"Chemistry","""for his contribution to carbocation chemistry""","University of Southern California","Los Angeles CA","USA",67,"University of Southern California"
"Albrecht Kossel","1853-09-16","1927-07-05","Mecklenburg (now Germany)","DE","Germany","DE","male",1910,"Medicine","""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins including the nucleic substances""","University of Heidelberg","Heidelberg","Germany",57,"University of Heidelberg"
"Joshua Lederberg","1925-05-23","2008-02-02","USA","US","USA","US","male",1958,"Medicine","""for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria""","University of Wisconsin","Madison WI","USA",33,"University of Wisconsin"
"Christian Lange","1869-09-17","1938-12-11","Norway","NO","Norway","NO","male",1921,"Peace","""for their lifelong contributions to the cause of peace and organized internationalism""",NULL,NULL,NULL,52,NULL
"Aristide Briand","1862-03-28","1932-03-07","France","FR","France","FR","male",1926,"Peace","""for their crucial role in bringing about the Locarno Treaty""",NULL,NULL,NULL,64,NULL
"Andrei Sakharov","1921-05-21","1989-12-14","Russia","RU","USSR (now Russia)","RU","male",1975,"Peace","""for his struggle for human rights in the Soviet Union for disarmament and cooperation between all nations""",NULL,NULL,NULL,54,NULL
"Desmond Tutu","1931-10-07","2021-12-26","South Africa","ZA","South Africa","ZA","male",1984,"Peace","""for his role as a unifying leader figure in the non-violent campaign to resolve the problem of apartheid in South Africa""",NULL,NULL,NULL,53,NULL
"John F. Nash Jr.","1928-06-13","2015-05-23","USA","US","USA","US","male",1994,"Economics","""for their pioneering analysis of equilibria in the theory of non-cooperative games""","Princeton University","Princeton NJ","USA",66,"Princeton University"
"John Bardeen","1908-05-23","1991-01-30","USA","US","USA","US","male",1956,"Physics","""for their researches on semiconductors and their discovery of the transistor effect""","University of Illinois","Urbana IL","USA",48,"University of Illinois"
"Craig C. Mello","1960-10-18",NULL,"USA","US",NULL,NULL,"male",2006,"Medicine","""for their discovery of RNA interference - gene silencing by double-stranded RNA""","University of Massachusetts Medical School","Worcester MA","USA",46,"University of Massachusetts Medical School"
"Eric S. Maskin","1950-12-12",NULL,"USA","US",NULL,NULL,"male",2007,"Economics","""for having laid the foundations of mechanism design theory""","Institute for Advanced Study","Princeton NJ","USA",57,"Institute for Advanced Study"
"Xiaobo Liu","1955-12-28","2017-07-13","China","CN","China","CN","male",2010,"Peace","""for his long and non-violent struggle for fundamental human rights in China""",NULL,NULL,NULL,55,NULL
"Tomas Lindahl","1938-01-28",NULL,"Sweden","SE",NULL,NULL,"male",2015,"Chemistry","""for mechanistic studies of DNA repair""","Francis Crick Institute","Hertfordshire","United Kingdom",77,"Francis Crick Institute"
"Allan M. Cormack","1924-02-23","1998-05-07","South Africa","ZA","USA","US","male",1979,"Medicine","""for the development of computer assisted tomography""","Tufts University","Medford MA","USA",55,"Tufts University"
"Edwin G. Krebs","1918-06-06","2009-12-21","USA","US","USA","US","male",1992,"Medicine","""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism""","University of Washington","Seattle WA","USA",74,"University of Washington"
"David M. Lee","1931-01-20",NULL,"USA","US",NULL,NULL,"male",1996,"Physics","""for their discovery of superfluidity in helium-3""","Cornell University","Ithaca NY","USA",65,"Cornell University"
"Frederick Soddy","1877-09-02","1956-09-22","United Kingdom","GB","United Kingdom","GB","male",1921,"Chemistry","""for his contributions to our knowledge of the chemistry of radioactive substances and his investigations into the origin and nature of isotopes""","University of Oxford","Oxford","United Kingdom",44,"University of Oxford"
"National Dialogue Quartet",NULL,NULL,NULL,NULL,NULL,NULL,"org",2015,"Peace","""for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011""",NULL,NULL,NULL,NULL,NULL
"F. Duncan M. Haldane","1951-09-14",NULL,"United Kingdom","GB",NULL,NULL,"male",2016,"Physics","""for theoretical discoveries of topological phase transitions and topological phases of matter""","Princeton University","Princeton NJ","USA",65,"Princeton University"
"International Campaign to Abolish Nuclear Weapons",NULL,NULL,NULL,NULL,NULL,NULL,"org",2017,"Peace","""for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons""",NULL,NULL,NULL,NULL,NULL
"International Campaign to Ban Landmines",NULL,NULL,NULL,NULL,NULL,NULL,"org",1997,"Peace","""for their work for the banning and clearing of anti-personnel mines""",NULL,NULL,NULL,NULL,NULL
"George C. Marshall","1880-12-31","1959-10-16","USA","US","USA","US","male",1953,"Peace","""for proposing and supervising the plan for the economic recovery of Europe""",NULL,NULL,NULL,73,NULL
"Ales Bialiatski","1962-09-25",NULL,"Russia","RU",NULL,NULL,"male",2022,"Peace","""The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.""",NULL,NULL,NULL,60,NULL
"Gerhard Herzberg","1904-12-25","1999-03-03","Germany","DE","Canada","CA","male",1971,"Chemistry","""for his contributions to the knowledge of electronic structure and geometry of molecules particularly free radicals""","National Research Council of Canada","Ottawa","Canada",67,"National Research Council of Canada"
"Christian Anfinsen","1916-03-26","1995-05-14","USA","US","USA","US","male",1972,"Chemistry","""for his work on ribonuclease especially concerning the connection between the amino acid sequence and the biologically active conformation""","National Institutes of Health","Bethesda MD","USA",56,"National Institutes of Health"
"Stanford Moore","1913-09-04","1982-08-23","USA","US","USA","US","male",1972,"Chemistry","""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""","Rockefeller University","New York NY","USA",59,"Rockefeller University"
"Richard Kuhn","1900-12-03","1967-07-31","Austria-Hungary (now Austria)","AT","West Germany (now Germany)","DE","male",1938,"Chemistry","""for his work on carotenoids and vitamins""","Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Medizinische Forschung","Heidelberg","Germany",38,"Max Planck Society"
"Andrew Z. Fire","1959-04-27",NULL,"USA","US",NULL,NULL,"male",2006,"Medicine","""for their discovery of RNA interference - gene silencing by double-stranded RNA""","Stanford University School of Medicine","Stanford CA","USA",47,"Stanford University"
"Phillip A. Sharp","1944-06-06",NULL,"USA","US",NULL,NULL,"male",1993,"Medicine","""for their discoveries of split genes""","Massachusetts Institute of Technology (MIT) Center for Cancer Research","Cambridge MA","USA",49,"Massachusetts Institute of Technology (MIT)"
"Theodor Kocher","1841-08-25","1917-07-27","Switzerland","CH","Switzerland","CH","male",1909,"Medicine","""for his work on the physiology pathology and surgery of the thyroid gland""","Berne University","Bern","Switzerland",68,"Berne University"
"Otto Meyerhof","1884-04-12","1951-10-06","Germany","DE","USA","US","male",1922,"Medicine","""for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle""","Kiel University","Kiel","Germany",38,"Kiel University"
"Sir Alexander Fleming","1881-08-06","1955-03-11","Scotland","GB","United Kingdom","GB","male",1945,"Medicine","""for the discovery of penicillin and its curative effect in various infectious diseases""","London University","London","United Kingdom",64,"London University"
"Sir Howard Florey","1898-09-24","1968-02-21","Australia","AU","United Kingdom","GB","male",1945,"Medicine","""for the discovery of penicillin and its curative effect in various infectious diseases""","University of Oxford","Oxford","United Kingdom",47,"University of Oxford"
"Bernardo Houssay","1887-04-10","1971-09-21","Argentina","AR","Argentina","AR","male",1947,"Medicine","""for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar""","Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine)","Buenos Aires","Argentina",60,"Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine)"
"Philip S. Hench","1896-02-28","1965-03-30","USA","US","Jamaica","JM","male",1950,"Medicine","""for their discoveries relating to the hormones of the adrenal cortex their structure and biological effects""","Mayo Clinic","Rochester MN","USA",54,"Mayo Clinic"
"François Jacob","1920-06-17","2013-04-19","France","FR","France","FR","male",1965,"Medicine","""for their discoveries concerning genetic control of enzyme and virus synthesis""","Institut Pasteur","Paris","France",45,"Institut Pasteur"
"George A. Akerlof","1940-06-17",NULL,"USA","US",NULL,NULL,"male",2001,"Economics","""for their analyses of markets with asymmetric information""","University of California","Berkeley CA","USA",61,"University of California"
"Aaron Ciechanover","1947-10-01",NULL,"British Protectorate of Palestine (now Israel)","IL",NULL,NULL,"male",2004,"Chemistry","""for the discovery of ubiquitin-mediated protein degradation""","Technion - Israel Institute of Technology","Haifa","Israel",57,"Technion - Israel Institute of Technology"
"Harold Pinter","1930-10-10","2008-12-24","United Kingdom","GB","United Kingdom","GB","male",2005,"Literature","""who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms""",NULL,NULL,NULL,75,NULL
"Kip S. Thorne","1940-06-01",NULL,"USA","US",NULL,NULL,"male",2017,"Physics","""for decisive contributions to the LIGO detector and the observation of gravitational waves""","LIGO/VIRGO Collaboration",NULL,NULL,77,"LIGO/VIRGO Collaboration"
"Willard S. Boyle","1924-08-19","2011-05-07","Canada","CA","Canada","CA","male",2009,"Physics","""for the invention of an imaging semiconductor circuit - the CCD sensor""","Bell Laboratories","Murray Hill NJ","USA",85,"Bell Laboratories"
"Ellen Johnson Sirleaf","1938-10-29",NULL,"Liberia","LR",NULL,NULL,"female",2011,"Peace","""for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work""",NULL,NULL,NULL,73,NULL
"François Englert","1932-11-06",NULL,"Belgium","BE",NULL,NULL,"male",2013,"Physics","""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles and which recently was confirmed through the discovery of the predicted fundamental particle by the ATLAS and CMS experiments at CERN's Large Hadron Collider""","Université Libre de Bruxelles","Brussels","Belgium",81,"Université Libre de Bruxelles"
"Douglas Diamond","1953-10-25",NULL,"USA","US",NULL,NULL,"male",2022,"Economics","""for research on banks and financial crises""","University of Chicago","Chicago IL","USA",69,"University of Chicago"
"Vincent du Vigneaud","1901-05-18","1978-12-11","USA","US","USA","US","male",1955,"Chemistry","""for his work on biochemically important sulphur compounds especially for the first synthesis of a polypeptide hormone""","Cornell University","Ithaca NY","USA",54,"Cornell University"
"Charles J. Pedersen","1904-10-03","1989-10-26","Korea (now South Korea)","KR","USA","US","male",1987,"Chemistry","""for their development and use of molecules with structure-specific interactions of high selectivity""","Du Pont","Wilmington DE","USA",83,"Du Pont"
"Richard R. Ernst","1933-08-14","2021-06-04","Switzerland","CH","Switzerland","CH","male",1991,"Chemistry","""for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy""","Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology)","Zurich","Switzerland",58,"Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology)"
"Jens C. Skou","1918-10-08","2018-05-28","Denmark","DK","Denmark","DK","male",1997,"Chemistry","""for the first discovery of an ion-transporting enzyme Na+ K+ -ATPase""","Aarhus University","Aarhus","Denmark",79,"Aarhus University"
"Peyton Rous","1879-10-05","1970-02-16","USA","US","USA","US","male",1966,"Medicine","""for his discovery of tumour-inducing viruses""","Rockefeller University","New York NY","USA",87,"Rockefeller University"
"Robert W. Holley","1922-01-28","1993-02-11","USA","US","USA","US","male",1968,"Medicine","""for their interpretation of the genetic code and its function in protein synthesis""","Cornell University","Ithaca NY","USA",46,"Cornell University"
"Willy Brandt","1913-12-18","1992-10-08","Germany","DE","Germany","DE","male",1971,"Peace","""for paving the way for a meaningful dialogue between East and West""",NULL,NULL,NULL,58,NULL
"Le Duc Tho","1911-10-14","1990-10-13","Vietnam","VN","Vietnam","VN","male",1973,"Peace","""for jointly having negotiated a cease fire in Vietnam in 1973""",NULL,NULL,NULL,62,NULL
"José Echegaray","1832-04-19","1916-09-04","Spain","ES","Spain","ES","male",1904,"Literature","""in recognition of the numerous and brilliant compositions which in an individual and original manner have revived the great traditions of the Spanish drama""",NULL,NULL,NULL,72,NULL
"Wladyslaw Reymont","1867-05-07","1925-12-05","Russian Empire (now Poland)","PL","Poland","PL","male",1924,"Literature","""for his great national epic <I>The Peasants</I>""",NULL,NULL,NULL,57,NULL
"Harry Martinson","1904-05-06","1978-02-11","Sweden","SE","Sweden","SE","male",1974,"Literature","""for writings that catch the dewdrop and reflect the cosmos""",NULL,NULL,NULL,70,NULL
"André F. Cournand","1895-09-24","1988-02-19","France","FR","USA","US","male",1956,"Medicine","""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""","Columbia University Division Cardio-Pulmonary Laboratory Bellevue Hospital","New York NY","USA",61,"Columbia University"
"Henry Taube","1915-11-30","2005-11-16","Canada","CA","USA","US","male",1983,"Chemistry","""for his work on the mechanisms of electron transfer reactions especially in metal complexes""","Stanford University","Stanford CA","USA",68,"Stanford University"
"Robert J. Shiller","1946-03-29",NULL,"USA","US",NULL,NULL,"male",2013,"Economics","""for their empirical analysis of asset prices""","Yale University","New Haven CT","USA",67,"Yale University"
"Max Delbrück","1906-09-04","1981-03-09","Germany","DE","USA","US","male",1969,"Medicine","""for their discoveries concerning the replication mechanism and the genetic structure of viruses""","California Institute of Technology (Caltech)","Pasadena CA","USA",63,"California Institute of Technology (Caltech)"
"Jaroslav Seifert","1901-09-23","1986-01-10","Austria-Hungary (now Czech Republic)","CZ","Czechoslovakia (now Czech Republic)","CZ","male",1984,"Literature","""for his poetry which endowed with freshness sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man""",NULL,NULL,NULL,83,NULL
"John C. Harsanyi","1920-05-29","2000-08-09","Hungary","HU","USA","US","male",1994,"Economics","""for their pioneering analysis of equilibria in the theory of non-cooperative games""","University of California","Berkeley CA","USA",74,"University of California"
"Myron Scholes","1941-07-01",NULL,"Canada","CA",NULL,NULL,"male",1997,"Economics","""for a new method to determine the value of derivatives""","Long Term Capital Management","Greenwich CT","USA",56,"Long Term Capital Management"
"Hans G. Dehmelt","1922-09-09","2017-03-07","Prussia (now Germany)","DE","USA","US","male",1989,"Physics","""for the development of the ion trap technique""","University of Washington","Seattle WA","USA",67,"University of Washington"
"Igor Y. Tamm","1895-07-08","1971-04-12","Russia","RU","USSR (now Russia)","RU","male",1958,"Physics","""for the discovery and the interpretation of the Cherenkov effect""","Lomonosov Moscow State University","Moscow","USSR (now Russia)",63,"Lomonosov Moscow State University"
"Gertrude B. Elion","1918-01-23","1999-02-21","USA","US","USA","US","female",1988,"Medicine","""for their discoveries of important principles for drug treatment""","Wellcome Research Laboratories","Research Triangle Park NC","USA",70,"Wellcome Research Laboratories"
"Joseph E. Murray","1919-04-01","2012-11-26","USA","US","USA","US","male",1990,"Medicine","""for their discoveries concerning organ and cell transplantation in the treatment of human disease""","Brigham and Women's Hospital","Boston MA","USA",71,"Brigham and Women's Hospital"
"Peter C. Doherty","1940-10-15",NULL,"Australia","AU",NULL,NULL,"male",1996,"Medicine","""for their discoveries concerning the specificity of the cell mediated immune defence""","St. Jude Children's Research Hospital","Memphis TN","USA",56,"St. Jude Children's Research Hospital"
"Patrick M.S. Blackett","1897-11-18","1974-07-13","United Kingdom","GB","United Kingdom","GB","male",1948,"Physics","""for his development of the Wilson cloud chamber method and his discoveries therewith in the fields of nuclear physics and cosmic radiation""","Victoria University","Manchester","United Kingdom",51,"Victoria University"
"John Bardeen","1908-05-23","1991-01-30","USA","US","USA","US","male",1972,"Physics","""for their jointly developed theory of superconductivity usually called the BCS-theory""","University of Illinois","Urbana IL","USA",64,"University of Illinois"
"Aage N. Bohr","1922-06-19","2009-09-08","Denmark","DK","Denmark","DK","male",1975,"Physics","""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""","Niels Bohr Institute","Copenhagen","Denmark",53,"Niels Bohr Institute"
"Dale T. Mortensen","1939-02-02","2014-01-09","USA","US","USA","US","male",2010,"Economics","""for their analysis of markets with search frictions""","Northwestern University","Evanston IL","USA",71,"Northwestern University"
"Organisation for the Prohibition of Chemical Weapons",NULL,NULL,NULL,NULL,NULL,NULL,"org",2013,"Peace","""for its extensive efforts to eliminate chemical weapons""",NULL,NULL,NULL,NULL,NULL
"Arthur B. McDonald","1943-08-29",NULL,"Canada","CA",NULL,NULL,"male",2015,"Physics","""for the discovery of neutrino oscillations which shows that neutrinos have mass""","Queen's University","Kingston","Canada",72,"Queen's University"
"Leon M. Lederman","1922-07-15","2018-10-03","USA","US","USA","US","male",1988,"Physics","""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""","Fermi National Accelerator Laboratory","Batavia IL","USA",66,"Fermi National Accelerator Laboratory"
"Paul Sabatier","1854-11-05","1941-08-14","France","FR","France","FR","male",1912,"Chemistry","""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years""","Toulouse University","Toulouse","France",58,"Toulouse University"
"Walther Nernst","1864-06-25","1941-11-18","Prussia (now Poland)","PL","Germany","DE","male",1920,"Chemistry","""in recognition of his work in thermochemistry""","Berlin University","Berlin","Germany",56,"Berlin University"
"Arne Tiselius","1902-08-10","1971-10-29","Sweden","SE","Sweden","SE","male",1948,"Chemistry","""for his research on electrophoresis and adsorption analysis especially for his discoveries concerning the complex nature of the serum proteins""","Uppsala University","Uppsala","Sweden",46,"Uppsala University"
"Jaroslav Heyrovsky","1890-12-20","1967-03-27","Austria-Hungary (now Czech Republic)","CZ","Czechoslovakia (now Czech Republic)","CZ","male",1959,"Chemistry","""for his discovery and development of the polarographic methods of analysis""","Polarographic Institute of the Czechoslovak Academy of Science","Prague","Czechoslovakia (now Czech Republic)",69,"Polarographic Institute of the Czechoslovak Academy of Science"
"Paul Ehrlich","1854-03-14","1915-08-20","Prussia (now Poland)","PL","Germany","DE","male",1908,"Medicine","""in recognition of their work on immunity""","Goettingen University","Göttingen","Germany",54,"Goettingen University"
"August Krogh","1874-11-15","1949-09-13","Denmark","DK","Denmark","DK","male",1920,"Medicine","""for his discovery of the capillary motor regulating mechanism""","Copenhagen University","Copenhagen","Denmark",46,"Copenhagen University"
"Willem Einthoven","1860-05-21","1927-09-29","Java Dutch East Indies (now Indonesia)","ID","the Netherlands","NL","male",1924,"Medicine","""for his discovery of the mechanism of the electrocardiogram""","Leiden University","Leiden","the Netherlands",64,"Leiden University"
"Aziz Sancar","1946-09-08",NULL,"Turkey","TR",NULL,NULL,"male",2015,"Chemistry","""for mechanistic studies of DNA repair""","University of North Carolina","Chapel Hill NC","USA",69,"University of North Carolina"
"Abiy Ahmed Ali","1976-08-15",NULL,"Ethiopia","ET",NULL,NULL,"male",2019,"Peace","""for his efforts to achieve peace and international cooperation and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea""",NULL,NULL,NULL,43,NULL
"Carl von Ossietzky","1889-10-03","1938-05-04","Germany","DE","Germany","DE","male",1935,"Peace","""for his burning love for freedom of thought and expression and his valuable contribution to the cause of peace""",NULL,NULL,NULL,46,NULL
"Yoichiro Nambu","1921-01-18","2015-07-05","Japan","JP","Japan","JP","male",2008,"Physics","""for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics""","Enrico Fermi Institute University of Chicago","Chicago IL","USA",87,"University of Chicago"
"Alfred D. Hershey","1908-12-04","1997-05-22","USA","US","USA","US","male",1969,"Medicine","""for their discoveries concerning the replication mechanism and the genetic structure of viruses""","Carnegie Institution of Washington","Long Island New York NY","USA",61,"Carnegie Institution of Washington"
"Walter H. Brattain","1902-02-10","1987-10-13","China","CN","USA","US","male",1956,"Physics","""for their researches on semiconductors and their discovery of the transistor effect""","Bell Telephone Laboratories","Murray Hill NJ","USA",54,"Bell Laboratories"
"René Cassin","1887-10-05","1976-02-20","France","FR","France","FR","male",1968,"Peace","""for his struggle to ensure the rights of man as stipulated in the UN Declaration""",NULL,NULL,NULL,81,NULL
"F.W. de Klerk","1936-03-18","2021-11-11","South Africa","ZA","South Africa","ZA","male",1993,"Peace","""for their work for the peaceful termination of the apartheid regime and for laying the foundations for a new democratic South Africa""",NULL,NULL,NULL,57,NULL
"John Steinbeck","1902-02-27","1968-12-20","USA","US","USA","US","male",1962,"Literature","""for his realistic and imaginative writings combining as they do sympathetic humour and keen social perception""",NULL,NULL,NULL,60,NULL
"Gabriel García Márquez","1927-03-06","2014-04-17","Colombia","CO","Mexico","MX","male",1982,"Literature","""for his novels and short stories in which the fantastic and the realistic are combined in a richly composed world of imagination reflecting a continent's life and conflicts""",NULL,NULL,NULL,55,NULL
"George D. Snell","1903-12-19","1996-06-06","USA","US","USA","US","male",1980,"Medicine","""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""","Jackson Laboratory","Bar Harbor ME","USA",77,"Jackson Laboratory"
"Robert F. Furchgott","1916-06-04","2009-05-19","USA","US","USA","US","male",1998,"Medicine","""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""","SUNY Health Science Center","Brooklyn NY","USA",82,"SUNY Health Science Center"
"Paul C. Lauterbur","1929-05-06","2007-03-27","USA","US","USA","US","male",2003,"Medicine","""for their discoveries concerning magnetic resonance imaging""","University of Illinois","Urbana IL","USA",74,"University of Illinois"
