"full_name","born","died","born_country","born_country_code","died_country","died_country_code","gender","year","category","motivation","organization_name","organization_city","organization_country","winning_age","organization_name_standard"
"Ahmed Zewail","1946-02-26","2016-08-02","Egypt","EG","USA","US","male",1999,"Chemistry","""for his studies of the transition states of chemical reactions using femtosecond spectroscopy""","California Institute of Technology (Caltech)","Pasadena CA","USA",53,"California Institute of Technology (Caltech)"
"Carl Cori","1896-12-05","1984-10-20","Austria-Hungary (now Czech Republic)","CZ","USA","US","male",1947,"Medicine","""for their discovery of the course of the catalytic conversion of glycogen""","Washington University","St. Louis MO","USA",51,"Washington University"
"Tadeus Reichstein","1897-07-20","1996-08-01","Poland","PL","Switzerland","CH","male",1950,"Medicine","""for their discoveries relating to the hormones of the adrenal cortex their structure and biological effects""","Basel University","Basel","Switzerland",53,"Basel University"
"George Beadle","1903-10-22","1989-06-09","USA","US","USA","US","male",1958,"Medicine","""for their discovery that genes act by regulating definite chemical events""","California Institute of Technology (Caltech)","Pasadena CA","USA",55,"California Institute of Technology (Caltech)"
"Marie Curie","1867-11-07","1934-07-04","Russian Empire (now Poland)","PL","France","FR","female",1911,"Chemistry","""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element""","Sorbonne University","Paris","France",44,"Sorbonne University"
"J.J. Thomson","1856-12-18","1940-08-30","United Kingdom","GB","United Kingdom","GB","male",1906,"Physics","""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases""","University of Cambridge","Cambridge","United Kingdom",50,"University of Cambridge"
"Baruj Benacerraf","1920-10-29","2011-08-02","Venezuela","VE","USA","US","male",1980,"Medicine","""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""","Harvard Medical School","Boston MA","USA",60,"Harvard University"
"David H. Hubel","1926-02-27","2013-09-22","Canada","CA","USA","US","male",1981,"Medicine","""for their discoveries concerning information processing in the visual system""","Harvard Medical School","Boston MA","USA",55,"Harvard University"
"Richard E. Taylor","1929-11-02","2018-02-22","Canada","CA","USA","US","male",1990,"Physics","""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics""","Stanford University","Stanford CA","USA",61,"Stanford University"
"Owen Willans Richardson","1879-04-26","1959-02-15","United Kingdom","GB","United Kingdom","GB","male",1928,"Physics","""for his work on the thermionic phenomenon and especially for the discovery of the law named after him""","London University","London","United Kingdom",49,"London University"
"Eric Cornell","1961-12-19",NULL,"USA","US",NULL,NULL,"male",2001,"Physics","""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates""","University of Colorado JILA","Boulder CO","USA",40,"University of Colorado JILA"
"H. David Politzer","1949-08-31",NULL,"USA","US",NULL,NULL,"male",2004,"Physics","""for the discovery of asymptotic freedom in the theory of the strong interaction""","California Institute of Technology (Caltech)","Pasadena CA","USA",55,"California Institute of Technology (Caltech)"
"Doris Lessing","1919-10-22","2013-11-17","Persia (now Iran)","IR","United Kingdom","GB","female",2007,"Literature","""that epicist of the female experience who with scepticism fire and visionary power has subjected a divided civilisation to scrutiny""",NULL,NULL,NULL,88,NULL
"Fredrik Bajer","1837-04-21","1922-01-22","Denmark","DK","Denmark","DK","male",1908,"Peace","""for their long time work for the cause of peace as politicians peace society leaders orators and authors""",NULL,NULL,NULL,71,NULL
"Tobias Asser","1838-04-28","1913-07-29","the Netherlands","NL","the Netherlands","NL","male",1911,"Peace","""for his role as co-founder of the Institut de droit international initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague and pioneer in the field of international legal relations""",NULL,NULL,NULL,73,NULL
"Frank B. Kellogg","1856-12-22","1937-12-21","USA","US","USA","US","male",1929,"Peace","""for his crucial role in bringing about the Briand-Kellogg Pact""",NULL,NULL,NULL,73,NULL
"Martin Luther King Jr.","1929-01-15","1968-04-04","USA","US","USA","US","male",1964,"Peace","""for his non-violent struggle for civil rights for the Afro-American population""",NULL,NULL,NULL,35,NULL
"Pugwash Conferences on Science and World Affairs",NULL,NULL,NULL,NULL,NULL,NULL,"org",1995,"Peace","""for their efforts to diminish the part played by nuclear arms in international politics and in the longer run to eliminate such arms""",NULL,NULL,NULL,NULL,NULL
"Yasunari Kawabata","1899-06-11","1972-04-16","Japan","JP","Japan","JP","male",1968,"Literature","""for his narrative mastery which with great sensibility expresses the essence of the Japanese mind""",NULL,NULL,NULL,69,NULL
"Patrick White","1912-05-28","1990-09-30","United Kingdom","GB","Australia","AU","male",1973,"Literature","""for an epic and psychological narrative art which has introduced a new continent into literature""",NULL,NULL,NULL,61,NULL
"Leland Hartwell","1939-10-30",NULL,"USA","US",NULL,NULL,"male",2001,"Medicine","""for their discoveries of key regulators of the cell cycle""","Fred Hutchinson Cancer Research Center","Seattle WA","USA",62,"Fred Hutchinson Cancer Research Center"
"Gabriel Lippmann","1845-08-16","1921-07-13","Luxembourg","LU",NULL,NULL,"male",1908,"Physics","""for his method of reproducing colours photographically based on the phenomenon of interference""","Sorbonne University","Paris","France",63,"Sorbonne University"
"J. Hans D. Jensen","1907-06-25","1973-02-11","Germany","DE","West Germany (now Germany)","DE","male",1963,"Physics","""for their discoveries concerning nuclear shell structure""","University of Heidelberg","Heidelberg","Germany",56,"University of Heidelberg"
"Salvador E. Luria","1912-08-13","1991-02-06","Italy","IT","USA","US","male",1969,"Medicine","""for their discoveries concerning the replication mechanism and the genetic structure of viruses""","Massachusetts Institute of Technology (MIT)","Cambridge MA","USA",57,"Massachusetts Institute of Technology (MIT)"
"Roger W. Sperry","1913-08-20","1994-04-17","USA","US","USA","US","male",1981,"Medicine","""for his discoveries concerning the functional specialization of the cerebral hemispheres""","California Institute of Technology (Caltech)","Pasadena CA","USA",68,"California Institute of Technology (Caltech)"
"Barbara McClintock","1902-06-16","1992-09-02","USA","US","USA","US","female",1983,"Medicine","""for her discovery of mobile genetic elements""","Cold Spring Harbor Laboratory","Cold Spring Harbor NY","USA",81,"Cold Spring Harbor Laboratory"
"E. Donnall Thomas","1920-03-15","2012-10-20","USA","US","USA","US","male",1990,"Medicine","""for their discoveries concerning organ and cell transplantation in the treatment of human disease""","Fred Hutchinson Cancer Research Center","Seattle WA","USA",70,"Fred Hutchinson Cancer Research Center"
"Martin Rodbell","1925-12-01","1998-12-07","USA","US","USA","US","male",1994,"Medicine","""for their discovery of G-proteins and the role of these proteins in signal transduction in cells""","National Institute of Environmental Health Sciences","Research Triangle Park NC","USA",69,"National Institute of Environmental Health Sciences"
"Ei-ichi Negishi","1935-07-14","2021-06-06","China","CN","USA","US","male",2010,"Chemistry","""for palladium-catalyzed cross couplings in organic synthesis""","Purdue University","West Lafayette IN","USA",75,"Purdue University"
"Christopher A. Pissarides","1948-02-20",NULL,"Cyprus","CY",NULL,NULL,"male",2010,"Economics","""for their analysis of markets with search frictions""","London School of Economics and Political Science","London","United Kingdom",62,"London School of Economics and Political Science"
"Jean Tirole","1953-08-09",NULL,"France","FR",NULL,NULL,"male",2014,"Economics","""for his analysis of market power and regulation""","Toulouse School of Economics (TSE)","Toulouse","France",61,"Toulouse School of Economics (TSE)"
"Gérard Mourou","1944-06-22",NULL,"France","FR",NULL,NULL,"male",2018,"Physics","""for their method of generating high-intensity ultra-short optical pulses""","École Polytechnique","Palaiseau","France",74,"École Polytechnique"
"Louise Glück","1943-04-22",NULL,"USA","US",NULL,NULL,"female",2020,"Literature","""for her unmistakable poetic voice that with austere beauty makes individual existence universal""",NULL,NULL,NULL,77,NULL
"Bruce Merrifield","1921-07-15","2006-05-14","USA","US","USA","US","male",1984,"Chemistry","""for his development of methodology for chemical synthesis on a solid matrix""","Rockefeller University","New York NY","USA",63,"Rockefeller University"
"Charles Richet","1850-08-26","1935-12-04","France","FR","France","FR","male",1913,"Medicine","""in recognition of his work on anaphylaxis""","Sorbonne University","Paris","France",63,"Sorbonne University"
"Gerhard Ertl","1936-10-10",NULL,"Germany","DE",NULL,NULL,"male",2007,"Chemistry","""for his studies of chemical processes on solid surfaces""","Fritz-Haber-Institut der Max-Planck-Gesellschaft","Berlin","Germany",71,"Max Planck Society"
"Paul J. Flory","1910-06-19","1985-09-08","USA","US","USA","US","male",1974,"Chemistry","""for his fundamental achievements both theoretical and experimental in the physical chemistry of the macromolecules""","Stanford University","Stanford CA","USA",64,"Stanford University"
"Clinton Davisson","1881-10-22","1958-02-01","USA","US","USA","US","male",1937,"Physics","""for their experimental discovery of the diffraction of electrons by crystals""","Bell Telephone Laboratories","New York NY","USA",56,"Bell Laboratories"
"Stanley Cohen","1922-11-17","2020-02-05","USA","US","USA","US","male",1986,"Medicine","""for their discoveries of growth factors""","Vanderbilt University School of Medicine","Nashville TN","USA",64,"Vanderbilt University"
"Edward C. Kendall","1886-03-08","1972-05-04","USA","US","USA","US","male",1950,"Medicine","""for their discoveries relating to the hormones of the adrenal cortex their structure and biological effects""","Mayo Clinic","Rochester MN","USA",64,"Mayo Clinic"
"Andrew Huxley","1917-11-22","2012-05-30","United Kingdom","GB","United Kingdom","GB","male",1963,"Medicine","""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""","University College","London","United Kingdom",46,"University College"
"Samuel C.C. Ting","1936-01-27",NULL,"USA","US",NULL,NULL,"male",1976,"Physics","""for their pioneering work in the discovery of a heavy elementary particle of a new kind""","Massachusetts Institute of Technology (MIT)","Cambridge MA","USA",40,"Massachusetts Institute of Technology (MIT)"
"William A. Fowler","1911-08-09","1995-03-14","USA","US","USA","US","male",1983,"Physics","""for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe""","California Institute of Technology (Caltech)","Pasadena CA","USA",72,"California Institute of Technology (Caltech)"
"The Svedberg","1884-08-30","1971-02-25","Sweden","SE","Sweden","SE","male",1926,"Chemistry","""for his work on disperse systems""","Uppsala University","Uppsala","Sweden",42,"Uppsala University"
"Hans von Euler-Chelpin","1873-02-15","1964-11-06","Germany","DE","Sweden","SE","male",1929,"Chemistry","""for their investigations on the fermentation of sugar and fermentative enzymes""","Stockholm University","Stockholm","Sweden",56,"Stockholm University"
"Irving Langmuir","1881-01-31","1957-08-16","USA","US","USA","US","male",1932,"Chemistry","""for his discoveries and investigations in surface chemistry""","General Electric Company","Schenectady NY","USA",51,"General Electric Company"
"Norman Haworth","1883-03-19","1950-03-19","United Kingdom","GB","United Kingdom","GB","male",1937,"Chemistry","""for his investigations on carbohydrates and vitamin C""","Birmingham University","Birmingham","United Kingdom",54,"Birmingham University"
"Simon van der Meer","1925-11-24","2011-03-04","the Netherlands","NL","Switzerland","CH","male",1984,"Physics","""for their decisive contributions to the large project which led to the discovery of the field particles W and Z communicators of weak interaction""","CERN","Geneva","Switzerland",59,"CERN"
"Daniel C. Tsui","1939-02-28",NULL,"China","CN",NULL,NULL,"male",1998,"Physics","""for their discovery of a new form of quantum fluid with fractionally charged excitations""","Princeton University","Princeton NJ","USA",59,"Princeton University"
"Otto Diels","1876-01-23","1954-03-07","Germany","DE","West Germany (now Germany)","DE","male",1950,"Chemistry","""for their discovery and development of the diene synthesis""","Kiel University","Kiel","Germany",74,"Kiel University"
"Werner Heisenberg","1901-12-05","1976-02-01","Germany","DE","West Germany (now Germany)","DE","male",1932,"Physics","""for the creation of quantum mechanics the application of which has inter alia led to the discovery of the allotropic forms of hydrogen""","Leipzig University","Leipzig","Germany",31,"Leipzig University"
"Maurice Wilkins","1916-12-15","2004-10-05","New Zealand","NZ","United Kingdom","GB","male",1962,"Medicine","""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""","London University","London","United Kingdom",46,"London University"
"Doctors Without Borders",NULL,NULL,NULL,NULL,NULL,NULL,"org",1999,"Peace","""in recognition of the organisation's pioneering humanitarian work on several continents""",NULL,NULL,NULL,NULL,NULL
"Jacinto Benavente","1866-08-12","1954-07-14","Spain","ES","Spain","ES","male",1922,"Literature","""for the happy manner in which he has continued the illustrious traditions of the Spanish drama""",NULL,NULL,NULL,56,NULL
"Winston Churchill","1874-11-30","1965-01-24","United Kingdom","GB","United Kingdom","GB","male",1953,"Literature","""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values""",NULL,NULL,NULL,79,NULL
"Jean-Paul Sartre","1905-06-21","1980-04-15","France","FR","France","FR","male",1964,"Literature","""for his work which rich in ideas and filled with the spirit of freedom and the quest for truth has exerted a far-reaching influence on our age""",NULL,NULL,NULL,59,NULL
"Günter Grass","1927-10-16","2015-04-13","Free City of Danzig (now Poland)","PL","Germany","DE","male",1999,"Literature","""whose frolicsome black fables portray the forgotten face of history""",NULL,NULL,NULL,72,NULL
"Paul A. Samuelson","1915-05-15","2009-12-13","USA","US","USA","US","male",1970,"Economics","""for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science""","Massachusetts Institute of Technology (MIT)","Cambridge MA","USA",55,"Massachusetts Institute of Technology (MIT)"
"Robert E. Lucas Jr.","1937-09-15","2023-05-15","USA","US","USA","US","male",1995,"Economics","""for having developed and applied the hypothesis of rational expectations and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy""","University of Chicago","Chicago IL","USA",58,"University of Chicago"
"Rodney R. Porter","1917-10-08","1985-09-06","United Kingdom","GB","United Kingdom","GB","male",1972,"Medicine","""for their discoveries concerning the chemical structure of antibodies""","University of Oxford","Oxford","United Kingdom",55,"University of Oxford"
"Werner Arber","1929-06-03",NULL,"Switzerland","CH",NULL,NULL,"male",1978,"Medicine","""for the discovery of restriction enzymes and their application to problems of molecular genetics""","Biozentrum der Universität","Basel","Switzerland",49,"Biozentrum der Universität"
"Eric Betzig","1960-01-13",NULL,"USA","US",NULL,NULL,"male",2014,"Chemistry","""for the development of super-resolved fluorescence microscopy""","Janelia Research Campus Howard Hughes Medical Institute","Ashburn VA","USA",54,"Janelia Research Campus Howard Hughes Medical Institute"
"Jeffrey C. Hall","1945-05-03",NULL,"USA","US",NULL,NULL,"male",2017,"Medicine","""for their discoveries of molecular mechanisms controlling the circadian rhythm""","University of Maine","Maine ME","USA",72,"University of Maine"
"James Peebles","1935-04-25",NULL,"Canada","CA",NULL,NULL,"male",2019,"Physics","""for theoretical discoveries in physical cosmology""","Princeton University","Princeton NJ","USA",84,"Princeton University"
"Riccardo Giacconi","1931-10-06","2018-12-16","Italy","IT","USA","US","male",2002,"Physics","""for pioneering contributions to astrophysics which have led to the discovery of cosmic X-ray sources""","Associated Universities Inc.","Washington D.C.","USA",71,"Associated Universities Inc."
"John B. Fenn","1917-06-15","2010-12-10","USA","US","USA","US","male",2002,"Chemistry","""for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules""","Virginia Commonwealth University","Richmond VA","USA",85,"Virginia Commonwealth University"
"Thomas A. Steitz","1940-08-23","2018-08-23","USA","US","USA","US","male",2009,"Chemistry","""for studies of the structure and function of the ribosome""","Yale University","New Haven CT","USA",69,"Yale University"
"Hans Spemann","1869-06-27","1941-09-12","Württemberg (now Germany)","DE","Germany","DE","male",1935,"Medicine","""for his discovery of the organizer effect in embryonic development""","University of Freiburg im Breisgau","Breisgau","Germany",66,"University of Freiburg"
